"Sprite","Files","Subfolders"
"buttons","384","DefineButton2_1494, DefineButton2_1495, DefineButton2_1501, DefineButton2_1502, DefineButton2_1503, DefineButton2_1519, DefineButton2_1520, DefineButton2_1521, DefineButton2_1618, DefineButton2_164, DefineButton2_1652, DefineButton2_1656, DefineButton2_1664, DefineButton2_1670, DefineButton2_1725, DefineButton2_1767, DefineButton2_1814, DefineButton2_1847, DefineButton2_1880, DefineButton2_1886, DefineButton2_1889, DefineButton2_1895, DefineButton2_1899, DefineButton2_1914, DefineButton2_1923, DefineButton2_1924, DefineButton2_1929, DefineButton2_1930, DefineButton2_1940, DefineButton2_1941, DefineButton2_1946, DefineButton2_1947, DefineButton2_1957, DefineButton2_1958, DefineButton2_1966, DefineButton2_1972, DefineButton2_1982, DefineButton2_1989, DefineButton2_1990, DefineButton2_1991, DefineButton2_1992, DefineButton2_1993, DefineButton2_1994, DefineButton2_1995, DefineButton2_1996, DefineButton2_1997, DefineButton2_1998, DefineButton2_1999, DefineButton2_2006, DefineButton2_2007, DefineButton2_2008, DefineButton2_2009, DefineButton2_2010, DefineButton2_2011, DefineButton2_2012, DefineButton2_2013, DefineButton2_2014, DefineButton2_2015, DefineButton2_2016, DefineButton2_2017, DefineButton2_2018, DefineButton2_2019, DefineButton2_208, DefineButton2_213, DefineButton2_217, DefineButton2_229, DefineButton2_232, DefineButton2_248, DefineButton2_260, DefineButton2_266, DefineButton2_272, DefineButton2_32, DefineButton2_4, DefineButton2_401, DefineButton2_404, DefineButton2_420, DefineButton2_426, DefineButton2_445, DefineButton2_446, DefineButton2_447, DefineButton2_448, DefineButton2_449, DefineButton2_450, DefineButton2_451, DefineButton2_452, DefineButton2_453, DefineButton2_454, DefineButton2_458, DefineButton2_459, DefineButton2_460, DefineButton2_475, DefineButton2_487, DefineButton2_493, DefineButton2_496, DefineButton2_595, DefineButton2_82"
"fonts","13",""
"frames","3",""
"images","32",""
"morphshapes","3",""
"movies","0",""
"scripts","394","DefineButton2_1494, DefineButton2_1501, DefineButton2_1502, DefineButton2_1503, DefineButton2_1519, DefineButton2_1520, DefineButton2_1521, DefineButton2_1618, DefineButton2_1652, DefineButton2_1656, DefineButton2_1664, DefineButton2_1670, DefineButton2_1725, DefineButton2_1767, DefineButton2_1814, DefineButton2_1847, DefineButton2_1880, DefineButton2_1886, DefineButton2_1889, DefineButton2_1895, DefineButton2_1899, DefineButton2_1914, DefineButton2_1923, DefineButton2_1924, DefineButton2_1929, DefineButton2_1930, DefineButton2_1940, DefineButton2_1941, DefineButton2_1946, DefineButton2_1947, DefineButton2_1957, DefineButton2_1958, DefineButton2_1966, DefineButton2_1972, DefineButton2_1982, DefineButton2_1989, DefineButton2_1990, DefineButton2_1991, DefineButton2_1992, DefineButton2_1993, DefineButton2_1994, DefineButton2_1995, DefineButton2_1996, DefineButton2_1997, DefineButton2_1998, DefineButton2_1999, DefineButton2_2006, DefineButton2_2007, DefineButton2_2008, DefineButton2_2009, DefineButton2_2010, DefineButton2_2011, DefineButton2_2012, DefineButton2_2013, DefineButton2_2014, DefineButton2_2015, DefineButton2_2016, DefineButton2_2017, DefineButton2_2018, DefineButton2_2019, DefineButton2_208, DefineButton2_213, DefineButton2_217, DefineButton2_229, DefineButton2_232, DefineButton2_248, DefineButton2_260, DefineButton2_266, DefineButton2_272, DefineButton2_32, DefineButton2_4, DefineButton2_401, DefineButton2_404, DefineButton2_420, DefineButton2_426, DefineButton2_445, DefineButton2_446, DefineButton2_447, DefineButton2_448, DefineButton2_449, DefineButton2_450, DefineButton2_451, DefineButton2_452, DefineButton2_453, DefineButton2_454, DefineButton2_458, DefineButton2_459, DefineButton2_460, DefineButton2_475, DefineButton2_487, DefineButton2_493, DefineButton2_496, DefineButton2_595, DefineButton2_82, DefineSprite_1080, DefineSprite_1082, DefineSprite_1113, DefineSprite_1117, DefineSprite_1269, DefineSprite_1286, DefineSprite_1295, DefineSprite_1319, DefineSprite_1340, DefineSprite_1358, DefineSprite_1398, DefineSprite_1406, DefineSprite_1407, DefineSprite_1440, DefineSprite_1447, DefineSprite_1451, DefineSprite_1455, DefineSprite_1474, DefineSprite_1475, DefineSprite_1488, DefineSprite_1505, DefineSprite_1518, DefineSprite_1525, DefineSprite_1529, DefineSprite_1538, DefineSprite_1539_runner, DefineSprite_1546, DefineSprite_1548, DefineSprite_1555, DefineSprite_1586, DefineSprite_1588, DefineSprite_1590, DefineSprite_1592, DefineSprite_1619, DefineSprite_1620, DefineSprite_1629, DefineSprite_1638, DefineSprite_1640, DefineSprite_1642, DefineSprite_1643, DefineSprite_165, DefineSprite_1675, DefineSprite_1679, DefineSprite_1683, DefineSprite_1685, DefineSprite_1686, DefineSprite_1687, DefineSprite_1726, DefineSprite_1727, DefineSprite_1737, DefineSprite_1757, DefineSprite_1768, DefineSprite_1769, DefineSprite_1782, DefineSprite_1784, DefineSprite_1787, DefineSprite_1790, DefineSprite_1793, DefineSprite_1800, DefineSprite_1811, DefineSprite_1813, DefineSprite_1827, DefineSprite_1830, DefineSprite_1844, DefineSprite_1845, DefineSprite_1864, DefineSprite_1896, DefineSprite_1905, DefineSprite_1988, DefineSprite_2000, DefineSprite_2026, DefineSprite_2027, DefineSprite_21, DefineSprite_230, DefineSprite_252, DefineSprite_26, DefineSprite_276, DefineSprite_341, DefineSprite_37, DefineSprite_389, DefineSprite_411, DefineSprite_422, DefineSprite_457, DefineSprite_48, DefineSprite_486, DefineSprite_489, DefineSprite_5, DefineSprite_50, DefineSprite_51, DefineSprite_581, DefineSprite_583, DefineSprite_591, DefineSprite_606, DefineSprite_626, DefineSprite_65, DefineSprite_688, DefineSprite_700, DefineSprite_73, DefineSprite_941, frame_1, frame_3"
"shapes","1272",""
"sounds","43",""
"sprites","17097","DefineSprite_1080, DefineSprite_1082, DefineSprite_1084, DefineSprite_1088, DefineSprite_1090, DefineSprite_1092, DefineSprite_1113, DefineSprite_1114, DefineSprite_1117, DefineSprite_1119, DefineSprite_1122, DefineSprite_1132, DefineSprite_1143, DefineSprite_1151, DefineSprite_1154, DefineSprite_1167, DefineSprite_1170, DefineSprite_1188, DefineSprite_1191, DefineSprite_1201, DefineSprite_1209, DefineSprite_1214, DefineSprite_1217, DefineSprite_1237, DefineSprite_1248, DefineSprite_1259, DefineSprite_1269, DefineSprite_1286, DefineSprite_1295, DefineSprite_1319, DefineSprite_1340, DefineSprite_1358, DefineSprite_1372, DefineSprite_1398, DefineSprite_1406, DefineSprite_1407, DefineSprite_1440, DefineSprite_1442, DefineSprite_1444, DefineSprite_1446, DefineSprite_1447, DefineSprite_1450, DefineSprite_1451, DefineSprite_1454, DefineSprite_1455, DefineSprite_1474, DefineSprite_1475, DefineSprite_1478, DefineSprite_1488, DefineSprite_1505, DefineSprite_1508, DefineSprite_1518, DefineSprite_1524, DefineSprite_1525, DefineSprite_1529, DefineSprite_1538, DefineSprite_1539_runner, DefineSprite_1542, DefineSprite_1546, DefineSprite_1547, DefineSprite_1548, DefineSprite_1549, DefineSprite_1552, DefineSprite_1555, DefineSprite_156, DefineSprite_1586, DefineSprite_1588, DefineSprite_1590, DefineSprite_1592, DefineSprite_1594, DefineSprite_1599, DefineSprite_160, DefineSprite_1600, DefineSprite_1602, DefineSprite_1605, DefineSprite_1607, DefineSprite_161, DefineSprite_1610, DefineSprite_1612, DefineSprite_1614, DefineSprite_1619, DefineSprite_1620, DefineSprite_1624, DefineSprite_1626, DefineSprite_1629, DefineSprite_1635, DefineSprite_1638, DefineSprite_1640, DefineSprite_1642, DefineSprite_1643, DefineSprite_165, DefineSprite_1674, DefineSprite_1675, DefineSprite_1679, DefineSprite_1683, DefineSprite_1685, DefineSprite_1686, DefineSprite_1687, DefineSprite_169, DefineSprite_171, DefineSprite_1722, DefineSprite_1724, DefineSprite_1726, DefineSprite_1727, DefineSprite_173, DefineSprite_1734, DefineSprite_1736, DefineSprite_1737, DefineSprite_175, DefineSprite_1756, DefineSprite_1757, DefineSprite_1766, DefineSprite_1768, DefineSprite_1769, DefineSprite_177, DefineSprite_1780, DefineSprite_1781, DefineSprite_1782, DefineSprite_1784, DefineSprite_1787, DefineSprite_1790, DefineSprite_1793, DefineSprite_1794, DefineSprite_1799, DefineSprite_1800, DefineSprite_1811, DefineSprite_1813, DefineSprite_182, DefineSprite_1821, DefineSprite_1824, DefineSprite_1827, DefineSprite_1829, DefineSprite_1830, DefineSprite_184, DefineSprite_1843, DefineSprite_1844, DefineSprite_1845, DefineSprite_1850, DefineSprite_1852, DefineSprite_1854, DefineSprite_186, DefineSprite_1864, DefineSprite_187, DefineSprite_1875, DefineSprite_188, DefineSprite_1896, DefineSprite_1902, DefineSprite_1905, DefineSprite_1907, DefineSprite_1909, DefineSprite_191, DefineSprite_1912, DefineSprite_1918, DefineSprite_192, DefineSprite_1920, DefineSprite_1926, DefineSprite_193, DefineSprite_1932, DefineSprite_1934, DefineSprite_1937, DefineSprite_1943, DefineSprite_1949, DefineSprite_1951, DefineSprite_1954, DefineSprite_1961, DefineSprite_1963, DefineSprite_1974, DefineSprite_1977, DefineSprite_1980, DefineSprite_1983, DefineSprite_1986, DefineSprite_1988, DefineSprite_2000, DefineSprite_2022, DefineSprite_2025, DefineSprite_2026, DefineSprite_2027, DefineSprite_2029, DefineSprite_21, DefineSprite_221, DefineSprite_223, DefineSprite_226, DefineSprite_230, DefineSprite_235, DefineSprite_237, DefineSprite_242, DefineSprite_247, DefineSprite_252, DefineSprite_26, DefineSprite_275, DefineSprite_276, DefineSprite_278, DefineSprite_282, DefineSprite_300, DefineSprite_305, DefineSprite_313, DefineSprite_328, DefineSprite_336, DefineSprite_338, DefineSprite_340, DefineSprite_341, DefineSprite_342, DefineSprite_344, DefineSprite_35, DefineSprite_37, DefineSprite_389, DefineSprite_390, DefineSprite_411, DefineSprite_412, DefineSprite_418, DefineSprite_422, DefineSprite_429, DefineSprite_431, DefineSprite_439, DefineSprite_443, DefineSprite_455, DefineSprite_457, DefineSprite_461, DefineSprite_464, DefineSprite_466, DefineSprite_48, DefineSprite_481, DefineSprite_486, DefineSprite_488, DefineSprite_489, DefineSprite_5, DefineSprite_50, DefineSprite_51, DefineSprite_532, DefineSprite_534, DefineSprite_549, DefineSprite_552, DefineSprite_581, DefineSprite_583, DefineSprite_591, DefineSprite_592, DefineSprite_594, DefineSprite_597, DefineSprite_599, DefineSprite_600, DefineSprite_602, DefineSprite_605, DefineSprite_606, DefineSprite_609, DefineSprite_611, DefineSprite_614, DefineSprite_616, DefineSprite_619, DefineSprite_62, DefineSprite_622, DefineSprite_626, DefineSprite_64, DefineSprite_65, DefineSprite_688, DefineSprite_690, DefineSprite_692, DefineSprite_694, DefineSprite_696, DefineSprite_697, DefineSprite_700, DefineSprite_73, DefineSprite_731, DefineSprite_757, DefineSprite_783, DefineSprite_941, DefineSprite_957, DefineSprite_974, DefineSprite_990"
"symbolClass","1",""
"texts","304",""
